Title,Channel,URL
"Andy Grammer - Honey, I'm Good. (Official Music Video)",Andy Grammer,https://www.youtube.com/watch?v=Go7gn6dugu0
[Private video],,https://www.youtube.com/watch?v=4YKcGGO2Ljc
WALK THE MOON - Shut Up and Dance (Official Video),WALK THE MOON,https://www.youtube.com/watch?v=6JCLY0Rlx6Q
Maroon 5 - One More Night (Lyrics),HotLYRlCS,https://www.youtube.com/watch?v=BpypkvZjJiI
Shinedown - Asking for it,Jack Hardam,https://www.youtube.com/watch?v=nSRI2fl94pw
[Private video],,https://www.youtube.com/watch?v=cYF0LtfUvJs
Arctic Monkeys - Arabella (Official Audio),Official Arctic Monkeys,https://www.youtube.com/watch?v=Jn6-TItCazo
The Less I Know The Better,Tame Impala,https://www.youtube.com/watch?v=PvM79DJ2PmM
► Imagine Dragons - Believer (with lyrics),Urban Trip,https://www.youtube.com/watch?v=9MJAg0VDgO0
Thirty Seconds To Mars - Walk On Water (Lyric Video),THIRTY SECONDS TO MARS,https://www.youtube.com/watch?v=FA2w-PMKspo
Harry Styles - Sign of the Times (Audio),Harry Styles,https://www.youtube.com/watch?v=z0GKGpObgPY
